Organization_Name,Annual_Operating_Budget,Website,Instagram,Facebook,Twitter,LinkedIn,YouTube,Program_Details,Additional_Comments,Evidence_Informed_Implementation_Strategies,Successes,Challenges,Address,Address_to_geocode_1,year_founded,First_Round_Scoring,Location,Required_Documents,Programmability,Needs,Workability,Overall.Score,POC_Led
Path to Greatness,"0",www.path2great.org,https://www.instagram.com/ptg11113/,www.facebook.com/path2great,,www.linkedin.com/company/path-2-greatness,,"We focus of prevention and intervention. Our workshops are on life skills and helping youth start on their ""Path to Greatness."". Our workshops are interactive as we talk with the students and not at the students. We provide mentorship for our students who desire to go to the next level and we provide resources for students and families who need it.",,Other,"Program/services: We provide quality workshops based on the topics and we make sure the students are part of the workshop as much as we are. We make sure that the students are engaged and feel valued by us. We listen to them, we do to judge them for their opinion/perspective, and we have a great report with our school partners that we have worked with throughout the years. 

Team members/staff: All of the team members are volunteers and some of them have been with us for over 5 years. They are reliable and loyal to Path to Greatness and the youth we serve. 

Community Day: We have done community days for North Philadelphia (five at 12th and Cambria Rec Center and one grab and go in 2020) in the past six years where we have engaged the community about Path to Greatness and provided over 500 book bags for children in the past six years.","Board: I am recreating the board right now and need support in how to keep and keep people on the board. 

Infrastructure: I do not know what this is but I need a better understanding of it so I can make it better

Services: Seeing what more services we can add so that we can stand out with the people who work with us can benefit from us as well","2537 North 8th Street Philadelphia, PA 19133","2537 N 8th St, Philadelphia, PA 19133","2013",Need more info about the program,,,,,,,Yes
Over The Goal Women's Business Academy,"75000",www.ogwba.org,,https://www.facebook.com/OGWBA/,,,,"1. The primary mission of The Academy is to empower women through comprehensive training in both soft and hard skills, along with coaching and education. Our ultimate goal is to provide women with the necessary tools to become thriving business owner that become effective agents of social change. Furthermore, we are dedicated to bridging the gap between women and better employment opportunities, in addition to our training programs. We actively collaborate with other non-profit organizations that share our mission of uplifting women in business and improving working conditions for them. Through these partnerships, our aim is not only to enhance the lives of individual women but also to improve the overall quality of family life and make positive contributions to the local economy. Ultimately, our aim is for mothers to thrive as business owners, which in turn encourages their children to become active participants in the community, promoting non-violence and supporting the success of the family business.
2. The Key Activities and strategies of our curriculum, available in both live online and in-person formats include:
<95> How to create a successful business model 
<95> Design thinking
<95> Strategic positioning and value proposition development
<95> Financial modeling
<95> The role of the founder, building effective partnerships, and recruiting team members
<95> Marketing, personal selling, and customer acquisition
<95> Harnessing resources and fundraising
<95> Pitching to investors
3. We entering our 3rd Cohort in 2 years.
4. One aspect that sets our program apart is our partnership with the LaSalle Non Profit Center. This partnership allows us to access unique methods and techniques that enhance our program. Another key component of our program is the presence of quality educators who provide training to our students. These educators are sourced from the Business Center, ensuring that they bring a wealth of knowledge and expertise to their teaching.. Additionally, our program benefits from the expertise of quality educators who are provided by the Business Center. These educators have had experience working at CNN news, bringing a wealth of knowledge to our students. Moreover, as the RNE Regional VP of the US Coalition of Black Women Business, I have access to successful and thriving women business owners who are willing to teach and coach our students.
",Not at this time,,"1. Relevance and Quality of Education Programs: The Women's Academy prides itself on offering education and training programs that are highly relevant to the needs of women entrepreneurs. We constantly update our curriculum to ensure it aligns with the latest business trends and practices. This commitment to relevance ensures that our students are equipped with the knowledge and skills necessary to succeed in the ever-evolving business landscape.

For example, the pandemic radically changed the business landscape, we adapted our programs to include modules on remote work, digital marketing strategies, and pivoting business models. This agile response which is a key to our core model, allowed our students to navigate the challenges with resilience, build micro business that are competitive in todays market.

2. Expert and Dedicated Educators: Our educators are the backbone of the Women's Academy's success. They are experts in their respective fields and have vast experience in coaching and mentoring aspiring women entrepreneurs. Each educator undergoes rigorous training and holds relevant certifications in business coaching and instruction to ensure high-quality instruction.

Furthermore, our educators possess a deep passion for empowering women and believe in harnessing the potential of every student. They go the extra mile to provide personalized attention and support to each student, enabling them to thrive in their entrepreneurial journey. Our educators' dedication and expertise are consistently reflected in the success stories of our graduates.

3. Strong Information Infrastructure and Support: The Women's Academy understands the importance of a robust information infrastructure to support our students effectively. We have invested significantly in technology and digital resources to ensure seamless access to educational materials, online libraries, webinars, and collaboration platforms.

Our information infrastructure also includes a dedicated support system, with staff readily available to address any technical or administrative concerns of our students. We have a helpdesk that provides quick and efficient solutions to any issues students may encounter, ensuring uninterrupted learning experiences.

The combination of our relevant education programs, dedicated educators, and well-established information infrastructure sets us apart in the field of women's education and empowers women to thrive as successful entrepreneurs.","1) Growth in Technology: Our organization recognizes the importance of staying up-to-date with advancements in technology to better serve our clients and stakeholders. We aim to improve our technological infrastructure, invest in new software or tools that enhance our programs and services, and ensure efficient data management and analysis.

2) HR and Management Training of Staff: To continue providing excellent programs and services, we believe in empowering micro business owners with the necessary knowledge and skills. We seek growth in providing comprehensive training that focuses on leadership, communication, and professional development of potential employees for their businesses.

","6703 Germantown Avenue, Philadelphia, PA 19119","6703 Germantown Ave, Philadelphia, PA 19119","2021","Location - ?? 
Reqd docs - ?? 
Programming - 1/5
Needs - 5/5 (staff development, board development, strategic planning) 
Workability - 3 

Overall score: 2",Yes,Yes,1,"5","3",2,Yes
PAR-Recycle Works,"854073",www.par-recycleworks.org,https://www.instagram.com/parrecycleworks/,https://facebook.com/parrecycleworks/,https://twitter.com/parrecycleworks,https://www.linkedin.com/company/par-recycle-works,,"PAR-Recycle Works directly attacks the problem violence intervention by providing transitional employment for previously incarcerated men and women. PAR provides jobs, job training and reentry support exclusively to returning citizens. 100% of PAR<92>s Participants are returning citizens and 65% of PAR<92>s graduates go on to full-time employment. Lack of employment in the Philadelphia area is the biggest factor to recidivism and PAR<92>s recidivism rate of 5% is 90% lower than national averages of 66%. Unemployment also contributes to returning citizens resorting to violence. Our program has been operating since February 2016 and we have served close to 150 people since that time.PAR has taken on the mission of cutting recidivism among high-risk ex-offenders (those who are returning to Philadelphia's toughest neighborhoods from prison), by focusing on providing them with economic opportunity through jobs, job training and reentry support.
PAR-Recycle Works program participants are deterred from violence and gun violence because they have an immediate job, while also receiving meaningful training, mentoring and support that will lead to full-time, permanent employment, thus helping to restore stability, confidence and the basic human dignity to which they are entitled
",,"Case Management, Data-informed Decision Making, Community Events, Violence Interruption","PAR has taken on the mission of cutting recidivism among high-risk ex-offenders (those who are returning to Philadelphia's toughest neighborhoods from prison), by focusing on providing them with economic opportunity through jobs, job training and reentry support.
PAR has a direct impact on employment of Philadelphia<92>s Black and Brown community by providing jobs, training and a bridge to full-time employment.<a0>PAR<92>s community activities reflect its values of social justice and environmental responsibility to achieve a meaningful positive impact on the Philadelphia area.

<b7><a0><a0><a0><a0><a0><a0><a0>PAR runs over 30 e-waste recycling events annually throughout Philadelphia<92>s communities, including various municipalities, educational institutions, faith-based organizations, etc.<a0>
<b7><a0><a0><a0><a0><a0><a0><a0>PAR supports over 100 Philadelphia area businesses, institutions and government agencies by collecting and recycling end-of-life electronics and managing data destruction requirements of its client-partners.
<b7><a0><a0><a0><a0><a0><a0><a0>PAR has an active community volunteer program connected with businesses, schools, universities and faith organizations which support PAR<92>s programming.
<b7><a0><a0><a0><a0><a0><a0><a0>PAR actively attacks climate change to support environmentally sustainable communities, recycling over 1,000,000 pounds of electronic waste that otherwise might have ended in landfills, but now it will be recycled and reused in a productive and environmentally positive manner.<a0>
<b7><a0><a0><a0><a0><a0><a0><a0>PAR has daily interaction with its network of referral partners, who constantly fill PAR<92>s feeder pipeline with new Program Participants for PAR. These organizations are in the business of supporting the reentry journeys of returning citizens from prison productively into PAR<92>s jobs, job training and support program as a bridge into full-time permanent employment. PAR<92>s referral partners include, The Philadelphia Reentry Coalition, Philadelphia<92>s Federal Reentry Court, The Institute for Criminal Justice, JEVS, Eastern State Penitentiary Reentry Outreach and others.<a0>","PAR<92>s Key Strategic Goals are centered around the growth and scalability of its mission: 
<b7><a0><a0><a0><a0><a0><a0><a0>Maximize the number of people that PAR serves
o<a0><a0>Track the success of PAR<92>s participants after graduation from PAR<92>s program
o<a0><a0>Scale-up the intake of recycling inventory, which is the source of work for PAR<92>s program participants
<b7><a0><a0><a0><a0><a0><a0><a0>Attract and retain talented full-time staff.<a0>
o<a0><a0>Transfer duties from volunteers to full-time staff
o<a0><a0>This requires PAR to be able to offer competitive wages and Health Insurance Benefits 
<b7><a0><a0><a0><a0><a0><a0><a0>Develop physical space capacity for the growth of PAR operations
o<a0><a0>This requires both physical space solutions for business operations and training & development activities","2024 West Hunting Park Avenue, Philadelphia, PA 19140","2024 W Hunting Park Ave, Philadelphia, PA 19140","2015",,,,,,,,Yes
Love Always Incorporated,"50000",,,,,,,"Violence prevention
Saving the youth
Direct involvement in lives of the youth in the neighborhood
Understanding the root cause of the problems and helping to avoid situations that perpetuate violence",,"Credible Messengers, Street Outreach, Violence Interruption, Community Events","Direct outreach 
alternative solutions
educate from the youth<92>s perspective","Programs and services
board/staff
infrastructure","5516 Lansdowne Avenue, Philadelphia, PA 19131","5516 Lansdowne Ave, Philadelphia, PA 19131","2016","Location - West Philly 
Reqd docs - ?? 
Programming - Need more info
Needs - 5/5 (program development, board and staff development, infrastructure) 
Workability - N/A 

Overall score: 3",No,Yes,,"5",,3,Yes
Victorias Urban Outreach Tutoring Service,"20000",www.vuots.org,https://www.instagram.com/v_u_o_t_s/,https://www.facebook.com/profile.php?id=100070985966742,,,,"The focus of VUOTS is to provide tutoring, educational programs & workshops to encourage academic success. In order to minimize violence VUOTS believes that having, core curriculum skills, along with education resources, and tools serve as and positive intervention. By supporting and increasing individuals fundamental abilities, they can become empowered and inspired.",,"Credible Messengers, Community Events, Educational Outreach","Board and staff, dedication are high, outreach and services & programs
","Funding, infrastructure, and sustainability.","6353 Germantown Avenue, Philadelphia PA 19144","6353 Germantown Ave, Philadelphia, PA 19144","2018",,,,,,,,Yes
Belfield Recreation Center Advisory Counsel,Yes,,https://www.instagram.com/belfieldrec/,https://www.facebook.com/BelfieldRecCenter,,,,"Violence Prevention Initiative is to reduce violence and create safer and healthier communities. The Belfield Advisory
Council is committed to a holistic approach that uses evidence- informed strategies to reduce violence through tailored community- centered initiatives. These multidisciplinary strategies engage individuals and groups to prevent and disrupt cycles of violence and retaliation, and establish relationships between individuals and community assets to deliver services that save lives, address trauma, provide opportunity, and improve the physical, social, and economic conditions that drive violence.
We will commit to weekly programming connecting people and community <93>most affected by gun violence through :
1. Educational workshops and seminars on the causes and effects of community violence (cognitive behavioral interventions, mental health support sessions)
2. Community clean-up initiatives to beautify and improve public spaces
3. Support groups for victims of violence and their families
4. Mentoring programs for at-risk youth
5. Job training and job placement programs for disadvantaged individuals (financial assistance, internship opportunities, and social services navigation support, among other services.)
6. Recreational activities to engage youth in positive, productive activities
7. Community forums and town hall meetings to discuss local issues and solutions
8. Collaboration with local law enforcement to increase visibility and communication

","Belfield Recreation Center has known history of being a quality recreation center and valuable asset to the Northwest community. Serving as a thriving hub of activity for youth, families, senior citizens, civic organizations, parks and recreation departments, and more. The majority of our programming will be hosted at this influential and trusted resource in the community. Additionally ,our project is unique in its ability to target a wide range of individuals across various genders, ages, and backgrounds. By combining research-based method such as the implementation of the Violence Prevention Initiative modeled after the Comprehensive Gang Prevention, Intervention, and Suppression Mode and personal experiences, our project is able to provide tailored solutions that are tailored to individuals<92> unique needs and backgrounds. We also focus on providing information and resources that are easily accessible, so that individuals can access them when and where they need them. Additionally, our project focuses on developing and implementing solutions that are both effective and sustainable, so that we can create long-term changes in individuals<92> lives.","Violence Interruption, Community Events, Educational Outreach, Street Outreach","1. Innovative Programs and Services: Our organization consistently excels in developing and implementing innovative programs and services that address the evolving needs of our community. We stay current with research and best practices in our field to deliver cutting-edge and effective solutions. Our programs are tailored to meet the unique needs of our target population and are designed to empower individuals and promote positive outcomes.

2. Exceptional Staff Expertise: Our organization boasts a team of highly skilled and experienced staff members who are experts in their respective fields. They possess a deep understanding of the issues we tackle and bring a wealth of knowledge, creativity, and passion to their work. Our staff members are constantly striving for excellence, staying informed of the latest trends and developments in their areas of expertise, and ensuring that our organization remains at the forefront of our field.

3. Strong Community Partnerships: We have established strong and collaborative partnerships with other organizations, community leaders, and stakeholders. These partnerships enable us to leverage resources, share expertise, and collaborate on initiatives that benefit our community. By working together, we maximize our impact and create lasting change. Our organization is seen as a trusted and respected partner, fostering a sense of collective responsibility and creating a supportive network for our programs and services.","Fundraising and Resource Development: As a nonprofit organization, sustainable funding is essential for our operations and growth. We aim to improve our fundraising and resource development efforts to diversify our funding sources, engage new donors and supporters, and increase our fundraising revenue. This includes implementing effective fundraising strategies, building relationships with potential donors, and exploring innovative funding opportunities. By strengthening our fundraising capacity, we can ensure our organization's financial sustainability and support the expansion of our programs and services.
","2109 West Chew Avenue, Philadelphia, PA 19138","2109 W Chew Ave, Philadelphia, PA 19138","1990","Location - ?? 
Reqd docs - ?? 
Programming - 5/5
Needs - 5/5 (fundraising and resource development) 
Workability - N/A 

Overall Score: 5",Yes,Yes,5,"5",,5,Yes
BuildaBridge International,"120000",www.buildabridge.org,https://www.instagram.com/heybuildabridge/,https://www.facebook.com/HeyBuildaBridge/,,,,"We have been running ""The Arts of Self-Care"" program for Human Service Providers, caregivers and other community members working/caring for children. By caring for the caregivers, BuildaBridge provides socio-emotional support to deal with the stressors of facing multiple fronts of adversity associated with populations and neighborhoods plagued by gun violence. Since the COVID lockdown in March 2020, BuildaBridge has served over 400 people.

Self-Care is an essential practice that needs to be emphasized more in social service provision and general caregiving. While devoted to the well-being of those we serve, devotion to the self is also indispensable and not to be ignored. Ultimately, how we treat ourselves impacts ourselves and those around us. To remediate this, BuildaBridge International offers an arts-based approach to self-care for professionals. The professional development session incorporates BuildaBridge<92>s Safe Spaces Model and self-care practices. The trauma-informed, strength-based and person-centered pedagogy of the Safe Spaces Model is the foundation of all BuildaBridge programming. Experiential learning through various mediums of art-making and dialogue will open participants up to accessible and achievable strategies to maintain self-care in and around challenging environments. Participants will develop personal strategies for self-care and tools to share within their communities and networks.

90% of the Arts of Self-Care self-report that they feel more hopeful. Hope is a standout feature of trauma-healing and a very strong programmatic ""takeaway."" T",Thank you for the opportunity,Data-informed Decision Making,#NAME?,#NAME?,"205 West Tulpehocken Street, Philadelphia, PA 19144","205 W Tulpehocken St, Philadelphia, PA 19144","1997","Location - ?? 
Reqd docs - ?? 
Programming - 5/5
Needs - 5/5 (board recruitment, fundraising, impact, marketing + communications) 
Workability - N/A 

Overall score: 4.5",Yes,Yes,5,"5",,4.5,Yes
Thomas Center for Learning and Physical Literacy Development,"272250",www.thomaslearning.org/green,https://www.instagram.com/thomaslearningpl/,https://www.facebook.com/ThomasLearningPL/,,,,"Thomas Center for Learning was founded in 2021 and with your support our Green Treat project will launch in Spring 2024. At the Green Treat Children<92>s garden, we will teach kids how to grow food and will provide a nature based play space. This is because we believe children must be given the opportunity to reconnect with and care for the Earth. There will be more capacity to care for one another if we take care of our physical and mental health by learning how to grow food and play safely outdoors. 

Gun violence prevention is a critical aspect of our mission at The Green Treat. Providing children with the opportunity to develop positive behaviors is the foundation of most efforts to prevent youth crime and violence. We will stand out by:

Creating a Safe Space- We believe that safe and green outdoor play spaces can act as sanctuaries for children. These spaces provide not only physical safety but also a sense of security and refuge from the dangers of gun violence that may lurk in their communities.

Promoting Mental Health and Coping Skills- Our nature-based play and outdoor activities have therapeutic benefits for children. Engaging with nature and physical activity can serve as a form of mental and emotional release, teaching children healthy ways to cope with stress and adversity, thus reducing the risk of turning to violence.


Education and Awareness-We believe that education is a powerful tool in preventing gun violence. While we focus on physical literacy and food security, we will also incorporate lessons on conflict resolution, tolerance, and non-violence into our programs.


Gun violence prevention and intervention are woven into the fabric of The Green Treat. Our holistic approach to child development aims to create a safer, more nurturing environment for children while addressing the underlying factors that contribute to violence. By teaching children physical literacy, providing green spaces, and empowering them to make healthy choices, we are helping build a foundation of strength, resilience, and non-violence in the communities we serve.
","We think deeply, critically, ethically and equitably about our youth and their families. We hope you consider our value and contributions to your program. Thank you for reviewing our application.",,"Our organization excels in several key areas that drive our mission and vision:

Promoting Physical Literacy for Children<a0>
We noticed a gap in our community's approach to educating school-aged children about the importance of physical literacy based on our founder's dissertation research. Our commitment to providing intentional classroom activities and role models who teach students about living a healthy, active life is at the core of our mission. We firmly believe that physical literacy goes beyond playgrounds and trees; it requires dedicated programs, and we're proud to be at the forefront of this effort. We excel in teacher professional development training, curriculum development, data collection and research methods.

Improving Children's Mental and Physical Well-Being
We understand that physical literacy is a social justice issue, especially among children of color. The statistics highlighting increased morbidity and mortality rates due to a lack of physical activity are alarming. By prioritizing nature-based play and green spaces, we are working to provide children with the mental, physical, and social developmental benefits they deserve. We are the only program in our neighborhood designed for increasing children's physical literacy. Our focus on physical literacy and the healthy mind-body connection is our prevention method against gun violence in our community. We excel in our communication of social justice issues in academic, professional spaces as well as with the community.

Giving Children Voice and Choice in their Community<a0>
We are committed to educating children and youth, giving them access to healthy foods and safe, clean green outdoor play spaces. Our goal is to grow with five classrooms every school year, starting with schools and child care programs in Germantown/Mt. Airy area of Philadelphia. We believe that children learn best from those they aspire to be like and those they interact with. This is why we teach kids how to prepare healthy meals using green foods, let them share recipes with their peers and offer a play space to build social skills. We excel in building student agency and youth leadership.

The Green Treat is dedicated to improving the lives of children in our community by addressing their physical literacy, mental and physical well-being, food insecurity, and by giving them a voice and choice in their community.","1. Engage and Partner with Legislators - At The Green Treat, we recognize the critical role that legislators play in shaping policies, securing resources, and advocating for the well-being of children and communities. Engaging and partnering with legislators is one area where we are committed to grow, as it can significantly enhance our mission of promoting physical literacy, mental well-being, food security, and gun violence prevention for youth.<a0>By focusing on engaging and partnering with legislators, we aim to build strong, collaborative relationships that will not only support our mission but also create a favorable policy environment for our initiatives. We firmly believe that this effort will contribute to a safer, healthier, and more promising future for the children and communities we serve. Together, through our involvement in the NW Philly Technical Assistance Program, with the support of legislators, we can make a meaningful difference in the lives of the next generation. Engaging with lawmakers and educating them about the benefits of our programs for children's well-being can lead to policy changes that support our goals.<a0>
2. Make Meaningful Connections & Promote Program Awareness-Another area where we can improve is the reach and accessibility of our programs. We plan to accomplish this through the use of community resources such as the NW Philadelphia Technical Assistance Program. We believe that our participation in your initiative will increase the accessibility of the Green Treat throughout Philadelphia's northwest region, as well as strengthen our relationships with the groups we hope to meet through your technical assistance program. We are confident that the Green Treat will contribute to your effort, which aims to foster mutual support, exchange resources, and create chances for collaborative progress in our community. We recognize that cooperating with community centers, schools, and organizations can assist us in expanding our reach and engaging with a larger audience.<a0>We will make better use of our time, strategy, and resources by collaborating to broaden our reach and have a bigger impact on our community in partnership with one another.
3. Ensure Safety and Quality of Play Space and Equipment-Our final point of growth is to improve our outside play materials and equipment. The quality of play equipment and materials are essential to the Green Treat's success. We are dedicated to ensuring that the equipment utilized in our outdoor play areas is not only safe, but also long-lasting and environmentally friendly. We will work to improve the selection and upkeep of play equipment and materials in order to provide a more inclusive, fun, safe, and long-lasting play environment for children and youth. To accomplish this, we plan on working with the NW Philly Technical Assistance Program to come up with approaches for obtaining financial support in collaboration, with the intention that the Green Treat outdoor play place will become a NW Philly landmark, community resource and extension of other programs in our area.

These areas of growth and improvement align with our commitment to creating a positive and lasting impact on the well-being of children and our community. By leveraging community resources, building legislative support, and addressing the quality of play equipment and materials, we can advance our mission and make a meaningful difference in the lives of the children we serve.
","800 East Tulpehocken Street, Philadelphia, PA 19138","800 E Tulpehocken St, Philadelphia, PA 19138","2021","Location - ?? 
Reqd docs - ?? 
Programming - 4/5
Needs - 5/5 (Policy and Advocacy, resource development, funding, infrastructure) 
Workability - N/A",Yes,Yes,4,"5",,,Yes
New Options More Opportunities,"2200000",www.nomofoundation.org,https://www.instagram.com/nomo_foundation/,https://www.facebook.com/nomofoundation/,,,,"NOMO (New Options More Opportunities) Foundation is a community based non profit
that provides a safe space for youth and families to develop positive life skills and nurture their
potential to break the cycle of poverty. Since 2010, NoMo has delivered a community-based
comprehensive anti-violence programming that provides participants, ages 12 -24 who are at an
elevated risk of gun violence involvement due to environmental influences and social factors
with increased confidence and improved social/emotional skills that lead to healthier individuals,
increased family stability, transitional housing, restorative practices, decreased substance abuse,
decrease in criminal activities, and a clear path to success. NoMo attempts to circumvent the
issues that plague our society by providing a plethora of opportunities that will allow them to
traverse the difficult paths of city living. NoMo provides comprehensive intakes that determine
the needs of young people and families. We offer group and individual counseling services to
address the issues facing our community. NoMo specializes in career development, financial
literacy and vocational training to assert the skills and positions our youth will need in the future.
We aim to break the cycle of economic and social barriers to success. NoMo incentives its
participants and provides supportive services to highlight the value of their commitment,
contribution, and perseverance.
Through the lived experience of our staff, our on-the-ground approach, and our ability to
learn from those we serve, NOMO understands that poor decision-making is often a result of
many acts of neglect, trauma, influences, and abuse from different avenues in the city of
Philadelphia. We meet our constituents where they are developmentally. We help them get to a
comforting positive space, where they can think and act rationally. The purpose of our efforts are
to break down the social and economic barriers our young people and community faces. We aim
to build on our current community-centered solutions and successes. For the last 11 years, we
have served over 1000 young people and over 300 justice-impacted families have been
reconciled. In our new transitional housing initiative, we have provided housing to 38 individuals
and aim to impact more. In meeting the diverse needs of our community, we provide drug and
substance abuse education and counseling to our population. One of our mantras is to provide
early intervention to aid in prevention and to teach positive habits before they solidify into
normal behaviors.
By addressing the prevailing issues at the root, we avert potential criminal activity,
poverty, and substance abuse. NoMo will become a long-lasting staple in the community, that
services by understanding the unique needs and population of the members.",,"Case Management, Street Outreach, Community Events, Educational Outreach, Violence Interruption","Programs: Equip youth with additional skills and resources to thrive
Staff: creates stable and strong relationships with youth, family, and communities to administer services and support
Incentives: incentivizing the program provides motivation and financial support that allows us to help retain our young people and keep them occupied.","Funding: We need funding to expand and provide quality care and support to our participants. 
Staff: We are understaffed 
Data Collection: We provide a great deal of services and could use more intricate data collection.","925 North Broad Street, Philadelphia PA 19123","925 N Broad St, Philadelphia, PA 19123","2010",,,,,,,,Yes
Anti-Drug & Alcohol Crusaders,"1000000",https://www.adacphilly.org/,https://www.instagram.com/adacphilly/,https://www.facebook.com/adacphilly,,,,"We offer a free school-based substance misuse and violence prevention program using evidence-based curricula. The name of our program is <93>Philly Youth Making Positive Choices<94>. For 35 years, our program was only delivering substance misuse and violence prevention curricula for its <93>out-of-school time<94> (OST) program to youth at our OST site located in West Philadelphia. We saw the need to serve more youth and families in the community, and the schools they<92>re connected to are where we can best reach them. We started off by offering our program to schools only in West and Southwest Philadelphia. We now offer and serve any school in Philadelphia. We have serve/serve schools in Northwest Philadelphia. Our PYMPC is in its 3rd year of programming. 

The purpose of our program is to educate young people on how to lead violence-free lives. We will focus on building protective factors within students to aid in positive social-emotional development while reducing risk factors that may lead to problem behaviors. ADAC<92>s intentions are to help youth be more accountable for their actions and the effects it has on others, all while teaching them the benefits of positive relationships, peace, unity, and love. Implementing this program will help youth learn how to think critically; evaluate, deal with and solve problems; how to consider other people<92>s viewpoints; and how to consider consequences of poor decisions. The goals of our program are:

Decrease/prevent the onset of youth violence in the community.
Increase youth<92>s knowledge on the implications of violence/gun violence.
Provide youth with the tools necessary to solve conflicts, communicate more effectively, and make positive choices overall.
Provide opportunities for youth to connect with their peers outside of school time to promote healthy relationships.
Provide youth with fun and engaging alternative activities. 
Promote healthy relationships among youth and their parents.
Engage youth who are most likely to be victims and/or perpetrators of violence/gun violence and provide those families with individualized supports (e.g., case management and service planning)
Provide families with resources, referrals, and support on youth behavior concerns, mental health, financial literacy, food, employment, housing, etc.
Improve relationship between families and school staff.
Increase community members<92> understanding on youth violence and get them more involved in violence prevention activities.

ADAC takes on a comprehensive prevention approach that will include services to reduce the risk of violence/gun violence on an individual, relationship, and community level. The major objectives of our program are:

Provide violence prevention education to youth ages 5-18 using evidence-based curriculum and general anti-violence information that will support the curriculum.
Provide alternative activities to youth ages 5-18 to prevent youth from participating in negative behaviors and keeping them safe.
Provide violence prevention education to the community and spread awareness on the risks of violence among youth and its effects on the community.
Provide families and communities with helpful information, resources, referrals, tips, etc. to help with their overall well-being. 

Our program target risk factors that increase the chances of youth to become future victims of delinquency, school dropout, violent behavior, and substance use. Our program is developed to build protective factors that will counteract all the negative outcomes because of their circumstances of living in poverty and in neighborhoods where rates of crime are high. Despite their situation, youth can overcome these negative outcomes, rise up, and become productive and successful citizens. Their situation doesn<92>t have to be permanent. With loving and trusting adults, appropriate services, and an engaged community, our youth do not have to fall victim to youth violence and other antisocial behaviors.

To complement our PYMPC program, we offer a free educational program to parents called Philly Families Thrive (PFT). PFT consist of parenting support and intervention on a one-to-one basis using an evidence-based curriculum and individual case management to parents and families with children who are beginning to engage in risky behaviors, experiencing trauma, showing signs of substance misuse, or experiencing a mental health illness or substance use disorder. For this service, the Practitioners use an evidence-based parenting curriculum. It is a parenting and family support system created to prevent, reduce, and treat behavioral and emotional problems in children and teenagers that lead to violence, drug use and other risky behaviors. The Practitioners provide 10 sessions to help parents identify the causes of their child<92>s misbehavior and establish personal goals for change. Parents learn a variety of parenting strategies to promote and develop positive behavior for their child. The program is appropriate for parents with children with moderate to severe levels of behavioral issues and for families who prefer one-on-one support. It aims to prevent problems in the family, school and community before they arise and to create family environments that encourage children to realize their potential. The program provides parents with useful strategies to assist them with managing their child<92>s behavior, learn parent coping skills, prevent serious problems from occurring, and establish healthy relationships. The program is designed to prevent inappropriate parenting practices and reduce risk factors (maltreatment, behavioral, emotional) in the family. Parents being equipped with family management and coping skills will decrease some of the mental challenges parents experience.","One of my concerns are maintaining staff. They don't remain because they find a job that pays more than we do and provide better health benefits. ADAC is not a rich organization, that can compete with some of the bigger non-profit organizations. We'll spend lots of time to train and get them ready, even spend money on them for specific training, get them ready for the mission and purpose, but something better comes there way. There has been sometimes, they ended up not being the ""right fit"" for ADAC. How do you find and maintain the right fit?

I do know that ADAC will benefit from this great TA program. It will really help the Executive Director. It will strengthen our organization during this time of expansion and development of our programs. Please consider us. I'll be more than happy to talk with you and tell you more about our programs and services, about ADAC in general, and why we really need this TA service. Either way, thanks for offering this opportunity.","Educational Outreach, Case Management, Community Events, Data-informed Decision Making","1. Outreach & marketing - we have some great looking marketing materials, website, social media, and professional and parent email listserv to share our program brochures. 
2. Work environment - a great work environment, which stems from the Executive Director who is loving, kind, caring, professional, but yet means business when it comes to serving youth, families, and the community and expect quality services from the team members. Also, expect the other directors, coordinators, and staff to be nice and treat others with respect and kindness, no matter what needs to be accomplished. 
3. We have four meaningful programs that seeks to accomplish one thing... the prevention of violence, bullying, substance misuse, and other negative behaviors. It's just carried out in different forms. It's all evidence-based prevention programming. Want to be part of making Philly a better place for all.","1. Fundraising
2. Staff development 
3. Developing Core Values and a Strategic Plan","1230 South 20th Street, Philadelphia, PA 19146","1230 S 20th St, Philadelphia, PA 19146","1986","Location - ?? 
Reqd docs - ?? 
Programming - 5/5
Needs - 5/5 (staff development/growth, fundraising, strategic planning) 
Workability - N/A 

Overall score: 5",Yes,Yes,5,"5",,5,Yes
